,Number of New Infected,Number of original infected,Total number of people,Time elapsed
0,39,1,100,1.0
0,18,1,100,1.0
0,35,1,100,1.0
0,32,1,100,1.0
0,32,1,100,1.0
0,38,1,100,1.0
0,25,1,100,1.0
0,36,1,100,1.0
0,37,1,100,1.0
0,25,1,100,1.0
0,22,1,100,1.0
0,30,1,100,1.0
0,44,1,100,1.0
0,33,1,100,1.0
0,39,1,100,1.0
0,37,1,100,1.0
0,33,1,100,1.0
0,34,1,100,1.0
0,26,1,100,1.0
0,50,1,100,1.0
0,33,1,100,1.0
0,47,1,100,1.0
0,37,1,100,1.0
0,7,1,100,1.0
0,36,1,100,1.0
0,27,1,100,1.0
0,49,1,100,1.0
0,8,1,100,1.0
0,29,1,100,1.0
0,26,1,100,1.0
